"Calendar Year","Object Identification Number","Oversight Agency","Operator Name","Status","Location Name","State","Borough","Postcode","Address Street","Full Location Address","Full Location Phone Number","Latitude","Longitude","Wireline Dwn","Wireline Up","WiFi Dwn","WiFi Up","Workstation Number","Target Population","Digital Literacy Support Staff","Mon Hours","Tue Hours","Wed Hours","Thu Hours","Fri Hours","Sat Hours","Sun Hours","Language Access","Wheelchair Accessible","Wheelchair Access Notes","Assistive Technology","Technology Related Courses","Productivity Tools (ex:  Using Word, Excel, Powerpoint, Adobe Acrobat, etc.)","Job Readiness (ex: resume help, job search, etc.)","Education (ex: personal growth, k-12 supports, reading research, etc.)","Creative Expression  (ex: making art, videos, blogs, websites, etc.)","Media and Entertainment (ex: consuming, producing, etc.)","Certifications (ex: in software, in housing, in professional areas, etc.)","Digital Literacy","Digital Media and Creativity","Telehealth Skills","Advanced Tech Skills","General Tech Help","Device Loaning","Device Loaned","Type of Device Available","Access Requirements","Access Notes","URL","Community District","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)","Location"
"2025","DFTAPCCVIS271","NYC Aging","Visions/Services For The Blind And Visually Impaired",,"Visions Innovative Senior Center","NY","Manhattan","10011","135 West 23rd Street, 10011, Manhattan, New York, USA","135 West 23rd Street, 10011, Manhattan, New York, USA","(646) 486-4444","40.7437564","-73.9941643","623.2","13.8","517.9","97.4","6","Older Adults","N","9:00 AM - 7:00 PM","9:00 AM - 7:30 PM","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","9:00 AM - 5:00 PM","Closed","Closed","Spanish,Chinese,All languages through Language Line","Y","Our entrance is accessible.","Y","Y","Y","N","N","N","Y","N","Y",,,,,"N",,"Desktops,Printers,Scanners","Y","For our Older adult center, individuals should be registered with the center and be at least over 60 and over.","https://visionsvcb.org/","104","3","1014949","1007990021","91","MN0401","POINT (-73.9941643 40.7437564)"
"2025","DFTAPCCJAS186","NYC Aging","JASA",,"JASA Van Cortlandt Older Adult Center (OAC)","NY","Bronx","10463","186 West 231st Street, 10463, Bronx, New York, USA","186 West 231st Street, 10463, Bronx, New York, USA","(718)-549-4700","40.8784447","-73.9043147","89.2","27.5","90.5","32","3","Older Adults","N","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Closed","Closed","Spanish","Y","N/A","N","Y","N","N","N","N","N","N","Y",,,,,"N",,"Desktops,Printers","Y","Must be 60 and over","http://www.jasa.org","208","11","2016124","2032660042","283","BX0802","POINT (-73.9043147 40.8784447)"
"2025","DYCDPCCEA762","Department of Youth and Community Development (DYCD)","Eastside House Settlement",,"Patterson Community Center","NY","Bronx","10451","340 Morris Avenue, 10451, Bronx, New York, USA","340 Morris Avenue, 10451, Bronx, New York, USA","(718) 665-5250","40.8135891","-73.9248474","0","0","0","0","N/A","All NYC residents","N","3:00 PM - 10:00 PM","3:00 PM - 10:00 PM","3:00 PM - 10:00 PM","3:00 PM - 10:00 PM","3:00 PM - 10:00 PM","10:00 AM - 10:00 PM","Closed","N/A","N/A","N/A","N/A","Y","N","Y","Y","N","Y","N","Y",,,,,"N",,"N/A","N/A","N/A","http://eastsidehouse.org","201","8","2091127","2023250001","51","BX0101","POINT (-73.92484739999999 40.8135891)"
"2025","DFTAPCCOLD346","NYC Aging","Older Adults Technology Services",,"Corsi House Neighborhood Senior Center","NY","Manhattan","10029","307 East 116th Street, 10029, Manhattan, New York, USA","307 East 116th Street, 10029, Manhattan, New York, USA","(212) 828-6756","40.7969304","-73.9370768","92.7","8.9","88.6","9","11","Older Adults","N","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","Closed","Closed","Spanish,Chinese Traditional","Y","main entrance","N","Y","N","N","N","N","N","N","Y",,,,,"N",,"Desktops,Printers","Y","60+","https://dftavirtualprogramfinder.cityofnewyork.us/","111","8","1079357","1016880045","188","MN1102","POINT (-73.9370768 40.7969304)"
"2025","DYCDPCCPO648","Department of Youth and Community Development (DYCD)","Police Athletic League, Inc.",,"Wynn Community Center","NY","Brooklyn","11216","495 Gates Avenue, 11216, Brooklyn, New York, USA","495 Gates Avenue, 11216, Brooklyn, New York, USA","(718) 230-8477","40.6868033","-73.9470203","0","0","0","0","N/A","All NYC residents","N","10:00 AM - 10:00 PM","10:00 AM - 10:00 PM","10:00 AM - 10:00 PM","10:00 AM - 10:00 PM","10:00 AM - 10:00 PM","10:00 AM - 10:00 PM","Closed","N/A","N/A","N/A","N/A","Y","N","Y","Y","N","Y","N","Y",,,,,"N",,"N/A","N/A","N/A","http://palnyc.org","303","36","3050974","3018090062","265","BK0301","POINT (-73.94702029999999 40.6868033)"
"2025","DFTAPCCOLD116","NYC Aging","Older Adults Technology Services",,"William Hodson Neighborhood Senior Center","NY","Bronx","10456","1320 Webster Avenue, 10456, Bronx, New York, USA","1320 Webster Avenue, 10456, Bronx, New York, USA","(718) 538-1515","40.8341388","-73.9081619","24.4","33.8","31.2","35.1","15","Older Adults","N","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","Closed","Closed","Spanish,French,Chinese","Y","Yes and it is located at 1320 Webster Avenue Bronx, New York 10456.","N","Y","N","N","N","Y","N","N","Y",,,,,"Y",,"Desktops,Printers","Y","Age 60+",,"203","16","2092074","2028940001","14701","BX0302","POINT (-73.9081619 40.8341388)"
"2025","NYPL015","New York Public Library (NYPL)","New York Public Library (NYPL)",,"Charleston Library","NY","Staten Island","10309","225 Bricktown Way, 10309, Staten Island, New York, USA","225 Bricktown Way, 10309, Staten Island, New York, USA","(929) 284-3660","40.5310466","-74.2322922","1000","1000","1000","1000","28","All NYC residents","Y","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 5:00 PM","10:00 AM - 5:00 PM","Closed","Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish","Y","N/A","Y","Y","Y","Y","Y","Y","N","N","N",,,,,"Y",,"Laptops,Desktops,Chromebooks","N","N/A","http://nypl.org/techconnect","503","51","5171789","5074520050","22602","SI0305","POINT (-74.2322922 40.5310466)"
"2025","NYPL020","New York Public Library (NYPL)","New York Public Library (NYPL)",,"Countee Cullen Library","NY","Manhattan","10030","104 West 136th Street, 10030, Manhattan, New York, USA","104 West 136th Street, 10030, Manhattan, New York, USA","(212) 491-2070","40.8145543","-73.9413552","1000","1000","1000","1000","37","All NYC residents","Y","11:00 AM - 7:00 PM","11:00 AM - 7:00 PM","11:00 AM - 7:00 PM","11:00 AM - 7:00 PM","11:00 AM - 5:00 PM","11:00 AM - 5:00 PM","Closed","Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish","Y","N/A","Y","Y","Y","Y","Y","Y","N","N","N",,,,,"Y",,"Laptops,Desktops,Chromebooks","N","N/A","http://nypl.org/techconnect","110","9","1058275","1019200026","228","MN1002","POINT (-73.94135519999999 40.8145543)"
"2025","DYCDPCCGR484","Department of Youth and Community Development (DYCD)","Grand Street Settlement, Inc.",,"Lafayette Cornerstone  Community Center","NY","Brooklyn","11205","442 Dekalb Avenue, 11205, Brooklyn, New York, USA","442 Dekalb Avenue, 11205, Brooklyn, New York, USA","(347) 384-8880","40.6901574","-73.9597897","100","35","0","100","N/A","All NYC residents","N","2:00 PM - 10:00 PM","2:00 PM - 10:00 PM","2:00 PM - 10:00 PM","2:00 PM - 10:00 PM","2:00 PM - 10:00 PM","10:00 AM - 5:00 PM","Closed","N/A","N/A","N/A","N/A","Y","N","Y","Y","Y","N","N","N",,,,,"N",,"N/A","N/A","N/A","http://grandsettlement.org","303","36","3321871","3019380001","233","BK0301","POINT (-73.9597897 40.6901574)"
"2025","DFTAPCCASS948","NYC Aging","Association Of Black Social Workers Inc.",,"ABSW Neighborhood Senior Center","NY","Manhattan","10025","221 West 107th Street, 10025, Manhattan, New York, USA","221 West 107th Street, 10025, Manhattan, New York, USA","(212)-749-8400","40.8018543","-73.9663128","92.7","2.2","85.8","92.9","3","Older Adults","N","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","8:30 AM - 4:00 PM","Closed","Closed","Spanish,Chinese,Russian,Bengali,Arabic,Korean,Urdu,French,Polish","Y","N/A","N","Y","N","N","N","N","N","N","N",,,,,"Y",,"Desktops,Tablets","Y","Age 60+",,"107","7","1075379","1018790017","195","MN0703","POINT (-73.9663128 40.8018543)"
"2025","DFTAPCCUNI364","NYC Aging","United Jewish Council Of The East Side Inc.",,"Lillian Wald Older Adult Center (OAC)","NY","Manhattan","10009","13 Avenue D, 10009, Manhattan, New York, USA","13 Avenue D, 10009, Manhattan, New York, USA","(212)-260-2731","40.7205204","-73.9786036","148.6","51.9","154.4","105.8","6","Older Adults","Y","8:00 AM - 3:00 PM","8:00 AM - 3:00 PM","8:00 AM - 3:00 PM","8:00 AM - 3:00 PM","8:00 AM - 3:00 PM","Closed","Closed","N/A","Y","N/A","N","Y","Y","Y","Y","N","Y","N","Y",,,,,"Y",,"Desktops,Laptops,Chargers,Tablets","Y","Must be a resident of NYC and be of 60+ years of age.","https://ujces.org/lillian-wald-older-adult-center-nyc","103","2","1004369","1003720039","2202","MN0303","POINT (-73.9786036 40.7205204)"
"2025","BPL041","Brooklyn Public Library (BPL)","Brooklyn Public Library (BPL)",,"Midwood Library","NY","Brooklyn","11230","975 East 16th St. at Avenue J , 11230, Brooklyn, New York, USA","975 East 16th St. at Avenue J , 11230, Brooklyn, New York, USA","(718) 252-0967","40.625907","-73.9604005","101","15","100","100","21","All NYC residents","Y","10:00AM - 6:00PM","1:00PM - 8:00PM","10:00AM - 6:00PM","10:00AM - 8:00 PM","10:00AM - 6:00PM","10:00AM - 5:00 PM","1:00PM - 5:00 PM","All languages through Language Line","Y","N/A","Y","Y","N","N","N","N","N","N","N",,,,,"Y",,"Desktops","N","N/A","http://bklynlibrary.org/locations/midwood","314","44","3179706","3067090054","532","BK1403","POINT (-73.96040049999999 40.625907)"
"2025","QPL006","Queens Public Library (QPL)","Queens Public Library (QPL)",,"Bayside Library","NY","Queens","11361","214-20 Northern Boulevard, 11361, Queens, New York, USA","214-20 Northern Boulevard, 11361, Queens, New York, USA","(718) 229-1834","40.7601388","-73.7683627","500","500","24.4","24.4","19","All NYC residents","Y","10am - 6pm","1pm - 6pm","10am - 6pm","12pm - 8pm","10am - 6pm","10am - 5pm","Closed","All languages through Language Line","N/A","N/A","Y","Y","N","N","N","N","N","N","N",,,,,"Y",,"Tablets,Desktops","N","N/A","https://www.queenslibrary.org/about-us/locations/bayside","411","19","4157389","4073330215","1471","QN1102","POINT (-73.7683627 40.7601388)"
"2025","DFTAPCCHAM874","NYC Aging","Hamilton Madison House Inc.",,"City Hall Neighborhood Senior Center","NY","Manhattan","10038","100 Gold Street, 10038, Manhattan, New York, USA","100 Gold Street, 10038, Manhattan, New York, USA","(212)-788-5580","40.7102278","-74.0032383","0","0","60","30","2","Older Adults","N","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Closed","Closed","Chinese","Y","N/A","N","N/A","N","N","N","N","N","N","N",,,,,"N",,"Desktops","Y","They are required to be an older adult center member.","https://hamiltonmadisonhouse.org/older-adult-youth-community-services/","101","1","1001289","1000940025","1501","MN0101","POINT (-74.00323829999999 40.71022780000001)"
"2025","DFTAPCCPOL177","NYC Aging","Polish and slaviccenter",,"Krakus Older Adult Center (OAC)","NY","Brooklyn","11222","177 Java Street, 11222, Brooklyn, New York, USA","177 Java Street, 11222, Brooklyn, New York, USA","(718) 389-0705 ext. 3","40.7318491","-73.9535369","290.3","393.3","532.1","324.2","5","Older Adults","N","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","8:00 AM - 4:00 PM","Closed","Closed","Polish","Y","176 Java St","N","Y","N","N","Y","N","N","N","N",,,,,"Y",,"Desktops,Laptops,Wi-fi Hotspots","N","N/A","https://polishslaviccenter.us/","301","33","3064503","3025410052","575","BK0101","POINT (-73.9535369 40.7318491)"
"2025","BPL052","Brooklyn Public Library (BPL)","Brooklyn Public Library (BPL)",,"Sheepshead Bay Library","NY","Brooklyn","11235","2636 E. 14th St. at Ave. Z , 11235, Brooklyn, New York, USA","2636 E. 14th St. at Ave. Z , 11235, Brooklyn, New York, USA","(718) 368-1815","40.5870092","-73.9554345","101","15","100","100","12","All NYC residents","Y","10:00AM - 6:00PM","1:00PM - 8:00PM","10:00AM - 6:00PM","10:00AM - 8:00 PM","10:00AM - 6:00PM","10:00AM - 5:00 PM","Closed","All languages through Language Line","Y","N/A","Y","Y","N","N","N","N","Y","N","N",,,,,"Y",,"Desktops","N","N/A","http://bklynlibrary.org/locations/sheepshead-bay","315","48","3204896","3074580020","606","BK1503","POINT (-73.9554345 40.5870092)"
"2025","NYPL087","New York Public Library (NYPL)","New York Public Library (NYPL)",,"West Farms Library","NY","Bronx","10460","2085 Honeywell Avenue, 10460, Bronx, New York, USA","2085 Honeywell Avenue, 10460, Bronx, New York, USA","(718) 367-5376","40.8446909","-73.8830286","1000","1000","1000","1000","23","All NYC residents","Y","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 7:00 PM","10:00 AM - 5:00 PM","10:00 AM - 5:00 PM","Closed","Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish","Y","N/A","Y","Y","Y","Y","Y","Y","N","N","N",,,,,"Y",,"Laptops,Desktops,Chromebooks","N","N/A","http://nypl.org/techconnect","206","15","2013151","2031230061","363","BX0601","POINT (-73.8830286 40.8446909)"
"2025","NYPL065","New York Public Library (NYPL)","New York Public Library (NYPL)",,"Schomburg Center for Research in Black Culture","NY","Manhattan","10037","515 Malcolm X Boulevard (135th St and Malcolm X Blvd), 10037, Manhattan, New York, USA","515 Malcolm X Boulevard (135th St and Malcolm X Blvd), 10037, Manhattan, New York, USA","(912)-275-6975","40.8140973","-73.9407981","1000","1000","1000","1000","26","All NYC residents","Y","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","10:00 AM - 6:00 PM","Closed","Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish","Y","N/A","Y","Y","Y","Y","Y","Y","N","N","N",,,,,"Y",,"Laptops,Desktops,Chromebooks","N","N/A","http://nypl.org/techconnect","110","9","1058276","1019200029","228","MN1002","POINT (-73.9407981 40.8140973)"
"2025","PARKS010","NYC Parks & Recreation","NYC Parks & Recreation",,"Gertrude Ederle Media Lab","NY","Manhattan","10023","232 W 60th Street, 10023, Manhattan, New York, USA","232 W 60th Street, 10023, Manhattan, New York, USA","(212) 397-3159","40.7712516","-73.988706","39.5","86.6","39.3","130.5","8","All NYC residents","N","7am-8pm","7am-8pm","7am-8pm","7am-8pm","8pm-12am","9am-3:30pm","Closed","Interpreters available upon request","Y","N/A","Y","Y","Y","N","N","Y","Y","N","N",,,,,"Y",,"Desktops","Y","All ages; Recreation Center membership required","https://www.nycgovparks.org/facilities/recreationcenters/M063/schedule#MediaLab","107","6","1086545","1011510015","147","MN0701","POINT (-73.98870600000001 40.7712516)"
"2025","QPL051","Queens Public Library (QPL)","Queens Public Library (QPL)",,"Rego Park Library","NY","Queens","11374","91-41 63rd Drive, 11374, Queens, New York, USA","91-41 63rd Drive, 11374, Queens, New York, USA","(718) 459-5140","40.7273227","-73.864511","500","500","24.4","24.4","17","All NYC residents","Y","10am - 6pm","1pm - 6pm","10am - 6pm","12pm - 8pm","10am - 6pm","10am - 5pm","Closed","All languages through Language Line","N/A","N/A","Y","Y","N","N","N","N","N","N","N",,,,,"Y",,"Tablets,Desktops","N","N/A","https://www.queenslibrary.org/about-us/locations/rego-park","406","30","4072812","4031030043","695","QN0601","POINT (-73.864511 40.72732269999999)"
"2025","DYCDPCCBR449","Department of Youth and Community Development (DYCD)","Bronxworks",,"Betances Cornerstone Community Center","NY","Bronx","10455","465 St. Ann's Avenue, 10455, Bronx, New York, USA","465 St. Ann's Avenue, 10455, Bronx, New York, USA","(718) 585-5040","40.8126057","-73.9142876","51","35","0","0","N/A","All NYC residents","N","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","Closed","Closed","N/A","Y","N/A","N/A","Y","N","Y","Y","Y","N","N","N",,,,,"N",,"Desktops","N/A","N/A","http://bronxworks.org","201","8","2093910","2022720119","43","BX0101","POINT (-73.9142876 40.8126057)"
"2025","DFTAPCCYOU252","NYC Aging","Young Isreal Programs Inc.",,"Young Israel Wavecrest and S. Bayswater Neighborhood","NY","Queens","11691","2716 Healy Avenue, 11691, Queens, New York, USA","2716 Healy Avenue, 11691, Queens, New York, USA","(718) 327-0297","40.6045408","-73.7657834","0","0","0","0","5","Older Adults","Y","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","8:30 AM - 4:30 PM","Closed","Closed","N/A","Y","N/A","N","Y","N","N","Y","Y","N","N","N",,,,,"Y",,"Laptops","Y","Age 60+","http://www.bayswatercenter.org/","414","31","4300494","4157220041","100804","QN1401","POINT (-73.7657834 40.6045408)"
"2025","DFTAPCCJEW337","NYC Aging","Bergen Basin Community Development Corp/ DBA Millenium Development Corp",,"Abe Stark Neighborhood Senior Center","NY","Brooklyn","10452","103-15 Farragaut Road , 10452, Brooklyn, New York, USA","103-15 Farragaut Road , 10452, Brooklyn, New York, USA","(718) 272-9516","40.6500138","-73.899357","13","10","13","10","10","Older Adults","N","7:30 AM - 3:30 PM","7:30 AM - 3:30 PM","7:30 AM - 3:30 PM","7:30 AM - 3:30 PM","7:30 AM - 3:30 PM","Closed","Closed","N/A","N","In the alley next to the church","N","Y","N","N","Y","N","Y","N","N",,,,,"Y",,"Desktops,Laptops,Tablets","Y","Age 60+","http://milldev.org",,,,,,,"POINT (-73.899357 40.6500138)"
"2025","BPL013","Brooklyn Public Library (BPL)","Brooklyn Public Library (BPL)",,"Brooklyn Central Library","NY","Brooklyn","11238","10 Grand Army Plaza, 11238, Brooklyn, New York, USA","10 Grand Army Plaza, 11238, Brooklyn, New York, USA","(718) 230-2100","40.6725011","-73.9681265","300","35","100","100","96","All NYC residents","Y","10:00AM - 6:00PM","1:00PM - 8:00PM","10:00AM - 6:00PM","10:00AM - 8:00 PM","10:00AM - 6:00PM","10:00AM - 5:00 PM","1:00PM - 5:00 PM","All languages through Language Line","Y","N/A","Y","Y","Y","Y","N","Y","Y","N","Y",,,,,"Y",,"Desktops","N","N/A","https://www.bklynlibrary.org/locations/central","355","35","3029665","3011830002","177","BK5591","POINT (-73.9681265 40.6725011)"
